Release Date,Product Family,Product,Platform,Impact,Max Severity,Article,Article,Supercedence,Base Score
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 2.0 Service Pack 2,Windows Server 2008 for x64-based Systems Service Pack 2,Remote Code Execution,Important,5021082,https://support.microsoft.com/help/5021082,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 2.0 Service Pack 2,Windows Server 2008 for 32-bit Systems Service Pack 2,Remote Code Execution,Important,5021094,https://support.microsoft.com/help/5021094,"5020691, 5018550",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 2.0 Service Pack 2,Windows Server 2008 for 32-bit Systems Service Pack 2,Remote Code Execution,Important,5021082,https://support.microsoft.com/help/5021082,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 11 version 21H2 for ARM64-based Systems,Remote Code Execution,Important,5021090,https://support.microsoft.com/help/5021090,"5020695, 5018859, 5018546",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows 11 version 21H2 for x64-based Systems,Remote Code Execution,Important,5021090,https://support.microsoft.com/help/5021090,"5020695, 5018859, 5018546",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows Server 2022 (Server Core installation),Remote Code Execution,Important,5021095,https://support.microsoft.com/help/5021095,"5020692, 5018860, 5018551",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8.1,Windows Server 2022,Remote Code Execution,Important,5021095,https://support.microsoft.com/help/5021095,"5020692, 5018860, 5018551",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.8,Windows 8.1 for x64-based systems,Remote Code Execution,Important,5021093,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.8,Windows 8.1 for x64-based systems,Remote Code Execution,Important,5021081,https://support.microsoft.com/help/5021081,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.8,Windows 10 Version 1607 for 32-bit Systems,Remote Code Execution,Important,5020873,https://support.microsoft.com/help/5020873,"5020614, 5018515",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 4.8,Windows RT 8.1,Remote Code Execution,Important,5021093,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.7.2,Windows 10 Version 1809 for x64-based Systems,Remote Code Execution,Important,5021085,https://support.microsoft.com/help/5021085,"5020685, 5018542",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.7.2,Windows Server 2019,Remote Code Execution,Important,5021085,https://support.microsoft.com/help/5021085,"5020685, 5018542",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.7.2,Windows Server 2019 (Server Core installation),Remote Code Execution,Important,5021085,https://support.microsoft.com/help/5021085,"5020685, 5018542",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.7.2,Windows 10 Version 1809 for ARM64-based Systems,Remote Code Execution,Important,5021085,https://support.microsoft.com/help/5021085,"5020685, 5018542",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8,Windows 10 Version 21H2 for x64-based Systems,Remote Code Execution,Important,5021088,https://support.microsoft.com/help/5021088,"5020687, 5018858, 5018545",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.7.2,Windows 10 Version 1809 for 32-bit Systems,Remote Code Execution,Important,5021085,https://support.microsoft.com/help/5021085,"5020685, 5018542",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8,Windows 11 version 21H2 for ARM64-based Systems,Remote Code Execution,Important,5021090,https://support.microsoft.com/help/5021090,"5020695, 5018859, 5018546",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8,Windows 10 Version 21H2 for 32-bit Systems,Remote Code Execution,Important,5021088,https://support.microsoft.com/help/5021088,"5020687, 5018858, 5018545",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8,Windows 10 Version 21H2 for ARM64-based Systems,Remote Code Execution,Important,5021088,https://support.microsoft.com/help/5021088,"5020687, 5018858, 5018545",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8,Windows 11 version 21H2 for x64-based Systems,Remote Code Execution,Important,5021090,https://support.microsoft.com/help/5021090,"5020695, 5018859, 5018546",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8,Windows 10 Version 20H2 for ARM64-based Systems,Remote Code Execution,Important,5021086,https://support.microsoft.com/help/5021086,"5020686, 5018856, 5018543",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8,Windows 10 Version 20H2 for 32-bit Systems,Remote Code Execution,Important,5021086,https://support.microsoft.com/help/5021086,"5020686, 5018856, 5018543",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8,Windows Server 2022 (Server Core installation),Remote Code Execution,Important,5021095,https://support.microsoft.com/help/5021095,"5020692, 5018860, 5018551",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5 AND 4.8,Windows 10 Version 20H2 for x64-based Systems,Remote Code Execution,Important,5021086,https://support.microsoft.com/help/5021086,"5020686, 5018856, 5018543",7.8
